Field_AT_ID,Field_ID,Table_ID,Table_Name,Field_Name,Field_Type,Redis_Cache,Redis_TTL,Field_Details,One_Or_Many,Registry_Created,Is_Linked_Field,Linked_Table,Linked_Table_ID
rec9up4nuyuqWYShl,fldirIfIISu73LBSs,tblDGRBf698F9Eyc8,QC_Review_Session,Session_ID,formula,checked,,,,4/8/2025 7:11pm,,,
recFoDDQr2waCTJOt,fldkSk1bzq5sTayIX,tblDGRBf698F9Eyc8,QC_Review_Session,Start_ReviewPeriod,date,checked,,,,4/8/2025 7:11pm,,,
recF4kHZwm9Ks6NZX,fldYZUoMvvCEmQkQc,tblDGRBf698F9Eyc8,QC_Review_Session,End_ReviewPeriod,date,checked,,,,4/8/2025 7:11pm,,,
recDaGCMBFQUJP8SP,fldqxe2HhSIeCP8De,tblDGRBf698F9Eyc8,QC_Review_Session,Token_URL,url,checked,,,,4/8/2025 7:11pm,,,
recLTWWOE8DM9LhQv,fldLnH75fVDMczswC,tblDGRBf698F9Eyc8,QC_Review_Session,Linked_Project,multipleRecordLinks,checked,,,,4/8/2025 7:11pm,checked,,
recZaeNGesu51NlEk,fldAKdYgtBfVDGLqJ,tblDGRBf698F9Eyc8,QC_Review_Session,ClientAbbrev_Project_Link (from Linked_Project),multipleLookupValues,checked,,,,4/8/2025 7:11pm,,,
recxT1NGLk1bKMasc,fldQ3pq0ua4mquKGJ,tblDGRBf698F9Eyc8,QC_Review_Session,Reviewer_Name,singleLineText,checked,,,,4/8/2025 7:11pm,,,
recK6xkJm99DOwYwu,flduznHHQHKvLas2L,tblDGRBf698F9Eyc8,QC_Review_Session,QC_Tickets,multipleRecordLinks,checked,,,,4/8/2025 7:11pm,checked,,
rec5olDCzi7wwPqoo,fld0VVweOu9Fs3HrD,tblDGRBf698F9Eyc8,QC_Review_Session,QC_Change_Order,singleLineText,checked,,,,4/8/2025 7:11pm,,,
reca1RK3iAmr7tVLk,fldtC1JldBuEKHveM,tblDGRBf698F9Eyc8,QC_Review_Session,QC_Platform_Pages,multipleRecordLinks,checked,,,,4/8/2025 7:11pm,checked,,
recKvyeMJFgYQ175a,fld2CohKLtxJ6sqYh,tblDGRBf698F9Eyc8,QC_Review_Session,Reviewer_Link,multipleRecordLinks,checked,,,,4/8/2025 7:11pm,checked,,
recCGGCnw6Pk8NIfF,fldqI3m9YPO8EjAvq,tblDGRBf698F9Eyc8,QC_Review_Session,Full Name (from Designer),multipleLookupValues,,,,,4/8/2025 7:11pm,,,
rect9VoEnob7Vhl1n,fldjp5gCCE0iamSW0,tblDGRBf698F9Eyc8,QC_Review_Session,QC_Tickets 2,singleLineText,checked,,,,4/8/2025 7:11pm,,,
recVZU8HMjrQ6M1u9,fldqza6kpLMSLytMe,tblDGRBf698F9Eyc8,QC_Review_Session,QC_Change_Order 2,multipleRecordLinks,checked,,,,4/8/2025 7:11pm,checked,,
recvmJyDmcq0bhPpD,fldjCwx304UrDUTcA,tblDGRBf698F9Eyc8,QC_Review_Session,QC_Change_Order 3,singleLineText,checked,,,,4/8/2025 7:11pm,,,
recxOVBLOzI2mTVnT,fldA6M0jvt3Nnb5KS,tblDGRBf698F9Eyc8,QC_Review_Session,Resource_HTML (from QC_Platform_Pages),multipleLookupValues,checked,,,,4/8/2025 7:11pm,,,
recNVpm85trLS9tPC,fldkJm6bga6Zon2iV,tblDGRBf698F9Eyc8,QC_Review_Session,Reviewer_Email,multipleLookupValues,checked,,,,4/8/2025 7:11pm,,,
recGzglMlHqi2TYus,fldyBweYzClkS2JIb,tblDGRBf698F9Eyc8,QC_Review_Session,Reviewer_Slack,multipleLookupValues,checked,,,,4/8/2025 7:11pm,,,
recM4CX5rNJqsVpkG,fldwmr3J2cvTSkF1B,tblDGRBf698F9Eyc8,QC_Review_Session,Reviewer_Role,multipleLookupValues,checked,,,,4/8/2025 7:11pm,,,
recW1DSl9y75aZArn,fldskfEsnDuncbiZA,tblDGRBf698F9Eyc8,QC_Review_Session,Linked_Client,multipleRecordLinks,checked,,,,4/8/2025 7:11pm,checked,,
recRqRVB5PybIzU7U,fldRCv2dvKj53gCsc,tblDGRBf698F9Eyc8,QC_Review_Session,Name (from Linked_Client),multipleLookupValues,checked,,,,4/8/2025 7:11pm,,,
rechQ0QQ3OJhHSyhR,fldjeYCWdxo99r3Cm,tblDGRBf698F9Eyc8,QC_Review_Session,AbbrevClient (from Linked_Client),multipleLookupValues,checked,,,,4/8/2025 7:11pm,,,
recz6WZBkVhulNs9R,fldaNLDP5gpBGmTUL,tblDGRBf698F9Eyc8,QC_Review_Session,Logo (from Linked_Client),multipleLookupValues,checked,,,,4/8/2025 7:11pm,,,
recd5dsESLMfQCaoB,fld0UqD9ZRKUlg1ZW,tblDGRBf698F9Eyc8,QC_Review_Session,URL_Constructor,formula,checked,,,,4/8/2025 7:11pm,,,
recOOs7RDQxdn8nrv,fldoRz2K0HcxIfW0K,tblDGRBf698F9Eyc8,QC_Review_Session,Team_AT_Record_ID (from Reviewer_Link),multipleLookupValues,checked,,,,4/8/2025 7:11pm,,,
recK0yHXQtmoKV466,fldrMMW94lFxu5W3F,tblaZGLONqZC8SDit,QC_Tickets,Ticket_AT_ID,formula,checked,,,,4/8/2025 7:11pm,,,
rec51oho4mSAnS89A,fldCVkk53ZZoEOBYH,tblaZGLONqZC8SDit,QC_Tickets,QC_Comment_Text,richText,checked,,,,4/8/2025 7:11pm,,,
recxeajpCmGnqJZ1h,fldeg3rOX1D2ZF6uT,tblaZGLONqZC8SDit,QC_Tickets,Comment_Priority,singleSelect,checked,,,,4/8/2025 7:11pm,,,
recZ7PBrwyxNSVKvd,fldfH9ReGxjgGJlJ8,tblaZGLONqZC8SDit,QC_Tickets,Source_URL,url,checked,,,,4/8/2025 7:11pm,,,
recmWSTVPdSDQmxZn,fldqTlOSRct05X76N,tblaZGLONqZC8SDit,QC_Tickets,Source_Version,singleLineText,checked,,,,4/8/2025 7:11pm,,,
recDHUCA7TKcoxjBm,fldsOtAu3oQdg3FjX,tblaZGLONqZC8SDit,QC_Tickets,Screenshot,multipleAttachments,checked,,,,4/8/2025 7:11pm,,,
recCyCyfx7qqgdE2E,fldedDtUGpZXZVYxx,tblaZGLONqZC8SDit,QC_Tickets,Datetime_entered,dateTime,checked,,,,4/8/2025 7:11pm,,,
recSODlU2IzBN2n31,fldNZPixqhzi90cTv,tblaZGLONqZC8SDit,QC_Tickets,Comment_Status,singleSelect,checked,,,,4/8/2025 7:11pm,,,
rec1UX0bBpR4edi6Z,fldrIjX2Xn8IXYTtN,tblaZGLONqZC8SDit,QC_Tickets,#Viewpoint_Width,number,checked,,,,4/8/2025 7:11pm,,,
recM3vBCBQ0EMQdqB,fldwvgP7cwIkkwmlA,tblaZGLONqZC8SDit,QC_Tickets,Reviewer_Session_ID,multipleRecordLinks,checked,,,,4/8/2025 7:11pm,checked,,
recPb0kE9JAqcJQxY,fldM9INEPCCzF4DlM,tblaZGLONqZC8SDit,QC_Tickets,Viewpoint_Height,number,checked,,,,4/8/2025 7:11pm,,,
reco0lXcd3Wn3HwvX,flduV8fLht9ooLa8G,tblaZGLONqZC8SDit,QC_Tickets,Source_Descriptor,singleLineText,checked,,,,4/8/2025 7:11pm,,,
recbADM6IqSSPICOC,fldX29lnAKE8zx6VM,tblaZGLONqZC8SDit,QC_Tickets,Linked_Project (from Reviewer_Session_ID) 2,multipleLookupValues,checked,,,,4/8/2025 7:11pm,,,
recDAxVDcc6ckcyh1,fldrTCBKaUYrYP7gd,tblaZGLONqZC8SDit,QC_Tickets,Reviewer_Name (from Reviewer_Session_ID) 2,multipleLookupValues,checked,,,,4/8/2025 7:11pm,,,
rec2kHoEdT1RWrhaT,fldbfgtLuEJGumYPH,tblaZGLONqZC8SDit,QC_Tickets,Session_ID (from Reviewer_Session_ID) 2,multipleLookupValues,checked,,,,4/8/2025 7:11pm,,,
recrbG1OjLmgyeQwB,fldTP38pQyhfhUXqM,tblaZGLONqZC8SDit,QC_Tickets,QC_Change_Order,multipleRecordLinks,checked,,,,4/8/2025 7:11pm,checked,,
reczgmDkoycxEkIcV,fldPlWTt6h5ndgEZ5,tblaZGLONqZC8SDit,QC_Tickets,InResource_Location_01,singleLineText,checked,,,,4/8/2025 7:12pm,,,
recRlBzBeGJ0ap0Cf,fldUMuLWXHefLyk0A,tblaZGLONqZC8SDit,QC_Tickets,InResource_Location_02,singleLineText,checked,,,,4/8/2025 7:12pm,,,
recNorvpjCfmoGIre,fldXCC8RoL4I8aCfR,tblaZGLONqZC8SDit,QC_Tickets,InResource_Location_03,singleLineText,checked,,,,4/8/2025 7:12pm,,,
